"job_group","badge","company_name","title","deadline","address_main","address_total","experience","education","employment_type","salary","tech_stack","url"
"Python, 데이터분석가, 데이터엔지니어, 데이터마이닝, 데이터시각화 외                    수정일 24/12/12","금융·보험 지원 TOP100","(주)마루에이치알","[현대캐피탈/금융기획팀] 데이터분석 및 관리(통계/파이썬,SQL)","~ 01/11(토)","서울  중구","서울  중구","경력무관","고졸↑","계약직","3,900 만원","Python, 데이터분석가, 데이터엔지니어, 데이터마이닝, 데이터시각화","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49577771&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, Java, AWS, 솔루션, 빅데이터 외                    수정일 24/12/17","연봉상승률 30% 이상","(사)한국아이씨티기술협회","[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능","~ 12/23(월)","서울전체","서울전체","경력무관","학력무관","교육생","","Python, Java, AWS, 솔루션, 빅데이터","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333137&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, Java, 딥러닝, 머신러닝, 빅데이터 외                    수정일 24/12/13","인기있는","에이스휴먼파워(주)","[여의도/338만] 한국평가데이터 DB분석 및 컨설팅 (SQL,파이썬)","~ 12/20(금)","서울  영등포구","서울  영등포구","경력","대졸↑","계약직","338 만원","Python, Java, 딥러닝, 머신러닝, 빅데이터","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49521011&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, C++, Java, AWS, 솔루션 외                    수정일 24/12/09","인기있는","(주)쇼엠","[인천 송도 근무] 파이썬 개발자 사원 채용","채용시","인천  연수구","인천  연수구","경력무관","학력무관","정규직","","Python, C++, Java, AWS, 솔루션","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49536040&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, 알고리즘, Keras, Pytorch, Tensorflow 외                    수정일 24/12/11","","(주)데이터앤솔루션","[경력,신입] 파이썬 개발자 정직원 모집(솔루션본부)","~ 01/10(금)","서울  서초구","서울  서초구","경력무관","초대졸↑","정규직","","Python, 알고리즘, Keras, Pytorch, Tensorflow","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49570740&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, AWS, Linux, 웹개발, 백엔드/서버개발 외                    등록일 24/12/16","급성장중","(주)케이엘피","파이썬(Python) 크롤링 가능하신분 구합니다.","오늘마감","서울  강남구","서울  강남구","경력무관","고졸↑","정규직·계약직","","Python, AWS, Linux, 웹개발, 백엔드/서버개발","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49595938&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, AWS, 백엔드/서버개발, 유지보수, 프론트엔드 외                    등록일 24/12/16","인기있는","(주)케이엘피","파이썬(Python) 기반의 풀스택 개발자 모십니다.","오늘마감","서울  강남구","서울  강남구","경력무관","고졸↑","정규직·계약직","","Python, AWS, 백엔드/서버개발, 유지보수, 프론트엔드","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49595960&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"데이터분석가, 소프트웨어개발                    등록일 24/11/30","IT개발·데이터 지원 급상승","이다웰(주)","파이썬 활용가능 데이터 분석가 모집","~ 12/30(월)","경기  용인시 기흥구","경기  용인시 기흥구","경력무관","학력무관","정규직","","데이터분석가, 소프트웨어개발","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49501156&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, Linux, 웹개발, 백엔드/서버개발, SE(시스템엔지니어) 외                    등록일 24/12/04","취업축하금","(주)뉴로다임","파이썬 프로그램 개발자","~ 01/02(목)","서울  성동구","서울  성동구","신입·경력","초대졸↑","정규직","","Python, Linux, 웹개발, 백엔드/서버개발, SE(시스템엔지니어)","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524064&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
"Python, 솔루션, iOS, 소프트웨어개발                    수정일 24/12/09","프리한 복장","주식회사비전코어","파이썬(Python) 및 앱(ios/안드로이드) 개발자 모집","~ 12/28(토)","대구  동구","대구  동구","경력3년↑","초대졸↑","정규직","4,000 만원","Python, 솔루션, iOS, 소프트웨어개발","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49490854&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=5f23e009-f0c0-40ac-8d84-277455b5a091"
